heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
4,6,8	0.3333333333333333	9	0.7283950617283951	0.7283950617283951	0.3786008230452675	0.32098765432098764	1.0	1.0	1.0
4,6,8	0.5	14	0.5608465608465608	0.8724279835390947	0.328042328042328	0.335978835978836	1.0	1.0	1.0
4,6,8	0.6666666666666666	18	0.4670781893004115	0.934156378600823	0.3292181069958848	0.3374485596707819	1.0	1.0	1.0
4,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,7,8	0.3333333333333333	9	0.6790123456790124	0.6790123456790123	0.3868312757201646	0.345679012345679	1.0	1.0	1.0
4,7,8	0.5	14	0.5634920634920635	0.8765432098765432	0.3333333333333333	0.3306878306878307	1.0	1.0	1.0
4,7,8	0.6666666666666666	18	0.4691358024691358	0.9382716049382716	0.32098765432098764	0.3436213991769547	1.0	1.0	1.0
4,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
5,6,7	0.3333333333333333	9	0.6666666666666666	0.6666666666666666	0.37448559670781895	0.345679012345679	1.0	1.0	1.0
5,6,7	0.5	14	0.5582010582010583	0.868312757201646	0.34656084656084657	0.31746031746031744	1.0	1.0	1.0
5,6,7	0.6666666666666666	18	0.4547325102880658	0.9094650205761318	0.3374485596707819	0.3168724279835391	1.0	1.0	1.0
5,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
5,6,8	0.3333333333333333	9	0.691358024691358	0.6913580246913581	0.36213991769547327	0.3333333333333333	1.0	1.0	1.0
5,6,8	0.5	14	0.5343915343915344	0.831275720164609	0.3253968253968254	0.31746031746031744	1.0	1.0	1.0
5,6,8	0.6666666666666666	18	0.43621399176954734	0.8724279835390947	0.3333333333333333	0.32098765432098764	1.0	1.0	1.0
5,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
5,7,8	0.3333333333333333	9	0.6502057613168725	0.6502057613168724	0.38271604938271603	0.35390946502057613	1.0	1.0	1.0
5,7,8	0.5	14	0.5529100529100529	0.8600823045267489	0.328042328042328	0.3306878306878307	1.0	1.0	1.0
5,7,8	0.6666666666666666	18	0.4567901234567901	0.9135802469135802	0.3230452674897119	0.3230452674897119	1.0	1.0	1.0
5,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
