heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
1,5,8	endpoint	cell_line_label	0.8518518518518519	1.0	0.6212530270096466	1.0
1,5,8	delta	condition_key	0.18518518518518517	0.5555555555555556	0.26001966975178814	4.0
1,5,8	delta	perturbation_label	0.2962962962962963	0.7407407407407407	0.39749652265142515	2.0
1,5,8	delta	cell_line_label	0.48148148148148145	0.9259259259259259	0.45947631903565345	2.0
1,6,7	endpoint	condition_key	0.2222222222222222	0.6666666666666666	0.377031165782705	3.0
1,6,7	endpoint	perturbation_label	0.2222222222222222	0.7407407407407407	0.39731395149814214	3.0
1,6,7	endpoint	cell_line_label	0.8888888888888888	1.0	0.7100830744322383	1.0
1,6,7	delta	condition_key	0.37037037037037035	0.7407407407407407	0.3213382348793999	3.0
1,6,7	delta	perturbation_label	0.4074074074074074	0.8148148148148148	0.44994022770099673	2.0
1,6,7	delta	cell_line_label	0.7407407407407407	1.0	0.5082348442745386	1.0
1,6,8	endpoint	condition_key	0.2222222222222222	0.5925925925925926	0.3544358977246735	4.0
1,6,8	endpoint	perturbation_label	0.25925925925925924	0.6666666666666666	0.4021374157683357	3.0
1,6,8	endpoint	cell_line_label	0.8518518518518519	1.0	0.6705374973028597	1.0
1,6,8	delta	condition_key	0.14814814814814814	0.5555555555555556	0.24432448058321138	4.0
1,6,8	delta	perturbation_label	0.2222222222222222	0.6666666666666666	0.3913869988114897	3.0
1,6,8	delta	cell_line_label	0.5555555555555556	1.0	0.47108719715380876	1.0
1,7,8	endpoint	condition_key	0.2962962962962963	0.7037037037037037	0.3537767500043216	3.0
1,7,8	endpoint	perturbation_label	0.2962962962962963	0.8888888888888888	0.4099969190931079	2.0
1,7,8	endpoint	cell_line_label	0.9629629629629629	1.0	0.6438137425011106	1.0
1,7,8	delta	condition_key	0.25925925925925924	0.6666666666666666	0.3003736509681929	3.0
1,7,8	delta	perturbation_label	0.37037037037037035	0.6666666666666666	0.4547714550995861	2.0
1,7,8	delta	cell_line_label	0.48148148148148145	1.0	0.4673203701770014	2.0
2,3,4	endpoint	condition_key	0.2962962962962963	0.6666666666666666	0.368516358669051	3.0
2,3,4	endpoint	perturbation_label	0.37037037037037035	0.7407407407407407	0.4194348369904166	2.0
2,3,4	endpoint	cell_line_label	0.7407407407407407	1.0	0.658701116486497	1.0
2,3,4	delta	condition_key	0.4074074074074074	0.7037037037037037	0.3502179647751306	2.0
2,3,4	delta	perturbation_label	0.48148148148148145	0.8518518518518519	0.4387157993919118	2.0
2,3,4	delta	cell_line_label	0.8148148148148148	1.0	0.5473319721719885	1.0
2,3,5	endpoint	condition_key	0.1111111111111111	0.5925925925925926	0.2840091007193404	4.0
2,3,5	endpoint	perturbation_label	0.2222222222222222	0.8888888888888888	0.39181911788870005	2.0
2,3,5	endpoint	cell_line_label	0.5185185185185185	0.9629629629629629	0.5879794098415401	1.0
2,3,5	delta	condition_key	0.25925925925925924	0.5555555555555556	0.30812296886510554	5.0
2,3,5	delta	perturbation_label	0.37037037037037035	0.6666666666666666	0.47024605574364703	2.0
2,3,5	delta	cell_line_label	0.5925925925925926	1.0	0.4599434812673805	1.0
2,3,6	endpoint	condition_key	0.18518518518518517	0.6666666666666666	0.33543229814585057	3.0
2,3,6	endpoint	perturbation_label	0.25925925925925924	0.7777777777777778	0.40898634191341365	3.0
2,3,6	endpoint	cell_line_label	0.8148148148148148	1.0	0.6609069983976505	1.0
2,3,6	delta	condition_key	0.3333333333333333	0.6666666666666666	0.3237454338331407	2.0
2,3,6	delta	perturbation_label	0.4444444444444444	0.8518518518518519	0.46930133078047326	2.0
2,3,6	delta	cell_line_label	0.7407407407407407	1.0	0.5031026636056516	1.0
2,3,7	endpoint	condition_key	0.2222222222222222	0.6666666666666666	0.33564201078409667	3.0
2,3,7	endpoint	perturbation_label	0.2962962962962963	0.7407407407407407	0.4102155248100153	3.0
2,3,7	endpoint	cell_line_label	0.7407407407407407	1.0	0.6540396767552775	1.0
2,3,7	delta	condition_key	0.4074074074074074	0.7777777777777778	0.3615499736322787	2.0
2,3,7	delta	perturbation_label	0.48148148148148145	0.8518518518518519	0.5080416779335349	2.0
2,3,7	delta	cell_line_label	0.6666666666666666	1.0	0.49785132862830955	1.0
2,3,8	endpoint	condition_key	0.2962962962962963	0.5555555555555556	0.3459142701169319	4.0
2,3,8	endpoint	perturbation_label	0.3333333333333333	0.7777777777777778	0.4156198479323155	3.0
