aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
mean	eval	test	image_patch_mean	32	32	0.0051118836546049885	0.020668052456634667	26	8.777344510962898	5.718678537159682	0.9994746697429208	0.0004059187534173945	True	0.9251080043821795
mean	eval	test	rna_projection_pre_norm	32	32	0.008864942000637106	0.028704632373374377	21	6.604074419024217	3.33186292091531	0.996998604833908	0.0038235253151769344	True	-0.5118405581177914
mean	eval	test	image_projection_pre_norm	32	32	0.0026691634894847414	0.009227691868670788	16	5.623778931002187	3.848558953499194	0.9997506469403884	0.000215556877058622	True	0.8734902517775747
mean	eval	test	rna_projection_norm_instance_mean	32	32	0.002763725497278377	0.008577120004533458	19	6.617736034215135	0.9999999932737115	0.9969986053346813	0.0038235248633613625	True	-0.052364645830138334
mean	eval	test	image_projection_norm_instance_mean	32	32	0.0006951418824716456	0.0023954698650659077	11	5.585822542627066	1.0000000010952137	0.9997506468503016	0.00021555695204242815	True	0.6997482797963108
mean	eval	test	rna_shared	32	32	0.012326632030573995	0.04774921805615616	24	6.6130778591723995	5.720800758957056	0.9971587276910738	0.0036067907969492743	False	-0.7793598873170524
mean	eval	test	image_shared	32	32	0.0051216656531887185	0.013565652865247906	17	5.5917031284208445	5.6590049565210245	0.9997534534449934	0.00021040956025722074	True	0.8918278189643516
mean	train_no_grad	train	rna_raw_cls	32	32	0.06532813527650343	0.12310313044320381	31	22.912969588458235	5.466230220355349	0.9817720895801108	0.006516443253543461	False	0.9697842469507679
mean	train_no_grad	train	image_raw_cls	32	32	0.035569702602075204	0.08040186846654608	31	23.005856390656866	5.5920897691350095	0.9924644813808811	0.0023888435346074315	False	0.9801898502149979
mean	train_no_grad	train	rna_token_mean	32	32	0.010841399036790171	0.032793696548762755	30	9.81690472269148	2.35876851206131	0.9967728897377165	0.0032484257538973197	False	0.8486465301516273
mean	train_no_grad	train	image_patch_mean	32	32	0.015786527591777295	0.03215589034474656	30	20.46633685601802	5.53545431309314	0.9987669894030644	0.0006404166601794818	False	0.9773644642250683
mean	train_no_grad	train	rna_projection_pre_norm	32	32	0.031014179224633936	0.06512544666971459	30	14.894340977461598	3.2007199289751087	0.9862197793420484	0.007823586360870128	False	0.7572517002580283
mean	train_no_grad	train	image_projection_pre_norm	32	32	0.032189679205679396	0.0555325036696054	30	13.919529052305194	3.7092282098971365	0.9923352751559875	0.004886672448007967	False	0.8458135921084412
mean	train_no_grad	train	rna_projection_norm_instance_mean	32	32	0.009165574285875302	0.01928255165727733	29	15.042739464323326	0.9608226272317467	0.9861811353608821	0.007793640483221779	True	0.5879742090628225
mean	train_no_grad	train	image_projection_norm_instance_mean	32	32	0.007582604909294399	0.01442695277378275	27	13.932265720059995	0.9736643370028406	0.9922547809178895	0.004953483980496263	True	0.706750719337615
mean	train_no_grad	train	rna_shared	32	32	0.06767545984008223	0.13519287330705498	31	20.646050596451765	5.71901811743103	0.9804788297342565	0.008890704400677482	False	0.9848379704481683
mean	train_no_grad	train	image_shared	32	32	0.05987792053554338	0.11041503202061223	30	20.70457563200636	5.659451564560509	0.9864788212841181	0.006393956540860711	False	0.905370808995191
mean	train_no_grad	val	rna_raw_cls	32	32	0.05890024564914176	0.13435566233512544	31	22.00265873231001	5.456666317126356	0.9781337740234785	0.009028203920539114	False	-11.85984409736208
mean	train_no_grad	val	image_raw_cls	32	32	0.0319247727345653	0.0822087184384658	31	23.154898797997895	5.592243154549356	0.9920456672012087	0.0025641556075731336	False	-1.2113935483432168
mean	train_no_grad	val	rna_token_mean	32	32	0.018419807334706075	0.05563969152733083	30	8.806152372914621	2.387751763529824	0.9914347177505163	0.0092069625942355	False	-0.08579069749963097
mean	train_no_grad	val	image_patch_mean	32	32	0.014501373190121559	0.03037529848102241	31	20.020960942160222	5.5341266423117395	0.9989026822756976	0.0006007481461112416	False	0.467838887239848
mean	train_no_grad	val	rna_projection_pre_norm	32	32	0.045158984825233305	0.0731899097764239	30	13.876759103350873	3.2038457443140196	0.9820439125838963	0.011021031702690707	False	-1.5002004564453877
mean	train_no_grad	val	image_projection_pre_norm	32	32	0.03100467036607506	0.055522064181181094	29	14.133298264393476	3.711349914037176	0.9921863356729571	0.004051708972720219	False	-0.8406552314543756
mean	train_no_grad	val	rna_projection_norm_instance_mean	32	32	0.013412627827572654	0.021816187112361225	27	13.93430648215346	0.9620667958900885	0.9820883654658535	0.010956831468764536	False	-0.3971532252404546
mean	train_no_grad	val	image_projection_norm_instance_mean	32	32	0.007557159741359421	0.014593826068447497	26	14.115704231502002	0.9753360021319528	0.9920809718558561	0.004096984800448025	True	-0.2618800384771982
mean	train_no_grad	val	rna_shared	32	32	0.08881139164765431	0.14564376641649035	31	19.649383003690506	5.720768015393421	0.9773799102315589	0.011817620314821082	False	-5.074778852444058
mean	train_no_grad	val	image_shared	32	32	0.06575289550023812	0.11120622987081932	31	20.546689832030108	5.66129136961636	0.9864519258395612	0.00494961100034816	False	-7.913802096570587
mean	train_no_grad	test	rna_raw_cls	32	32	0.06052511350695157	0.12242574528658448	31	22.798766908461214	5.450785948670726	0.9819667046376244	0.005862002909069871	False	-15.915877953461667
